Heat Number,Date,Shift,HM,DRI,HBI,Bucket,LIME,DOLO,CPC,POWER,OXY,T C,TTT
4515184,2025-04-06 00:00:00,B,69.67,50.1,0.0,0.0,9.0,1.2,347.0,29993.0,3132.0,119.77,36.0
4515185,2025-04-06 00:00:00,B,60.37,36.1,0.0,15.9,8.0,0.8,497.0,32462.0,3062.0,112.37,38.0
4515186,2025-04-06 00:00:00,B,71.42,50.1,0.0,0.0,8.0,1.2,290.0,28902.0,2994.0,121.52,47.0
4515187,2025-04-06 00:00:00,B,66.92,34.5,0.0,22.53,7.6,1.0,540.0,36703.0,3655.0,123.95,47.0
4515188,2025-04-06 00:00:00,B,57.77,43.9,0.0,16.01,9.3,1.2,476.0,33791.0,2954.0,117.68,39.0
4515189,2025-04-06 00:00:00,B,56.7,41.3,0.0,15.74,7.6,1.1,566.0,33302.0,2963.0,113.74,41.0
4515190,2025-04-06 00:00:00,B,62.39,55.1,0.0,0.0,8.7,1.4,406.0,32262.0,2727.0,117.49,35.0
4515191,2025-04-06 00:00:00,B,63.49,35.0,0.0,21.43,7.2,1.1,307.0,33935.0,3185.0,119.92,38.0
4515192,2025-04-06 00:00:00,B,62.64,41.2,0.0,12.2,7.6,0.9,482.0,30629.0,3391.0,116.04,44.0
4515193,2025-04-06 00:00:00,B,58.47,59.4,0.0,0.0,9.5,1.2,395.0,31876.0,3050.0,117.87,39.0
4515194,2025-04-06 00:00:00,B,57.13,40.9,0.0,21.04,8.3,1.3,332.0,36798.0,3363.0,119.07,40.0
4515195,2025-04-06 00:00:00,B,66.63,55.4,0.0,0.0,10.1,1.1,266.0,30167.0,3401.0,122.03,37.0
4515196,2025-04-07 00:00:00,C,66.72,54.2,0.0,0.0,10.2,1.2,279.0,31259.0,3351.0,120.92,35.0
4515197,2025-04-07 00:00:00,C,67.34,55.1,0.0,0.0,10.8,1.3,555.0,32351.0,3284.0,122.44,34.0
4515198,2025-04-07 00:00:00,C,57.77,33.1,0.0,23.42,7.7,1.0,426.0,31500.0,3460.0,114.29,36.0
4515199,2025-04-07 00:00:00,C,67.14,52.2,0.0,0.0,10.0,2.0,412.0,32445.0,3286.0,119.34,36.0
4515200,2025-04-07 00:00:00,C,60.63,42.1,0.0,14.85,9.8,1.1,499.0,31683.0,3620.0,117.58,39.0
4515201,2025-04-07 00:00:00,C,72.67,52.0,0.0,0.0,9.1,2.0,498.0,30157.0,3169.0,124.67,39.0
4515202,2025-04-07 00:00:00,C,67.75,52.6,0.0,0.0,10.3,2.0,515.0,31861.0,3396.0,120.35,34.0
4515203,2025-04-07 00:00:00,C,56.58,34.7,0.0,23.1,9.7,1.9,518.0,32290.0,3296.0,114.38,38.0
4515204,2025-04-07 00:00:00,C,66.87,54.5,0.0,0.0,10.3,2.0,633.0,31907.0,3340.0,121.37,38.0
4515205,2025-04-07 00:00:00,C,64.04,59.0,0.0,0.0,11.0,2.0,586.0,33726.0,3672.0,123.04,36.0
4515206,2025-04-07 00:00:00,C,57.92,42.0,0.0,17.5,10.1,1.9,586.0,32256.0,3620.0,117.42,40.0
4515207,2025-04-07 00:00:00,C,68.93,56.4,0.0,0.0,10.1,2.0,651.0,34378.0,3621.0,125.33,37.0
4515208,2025-04-07 00:00:00,C,59.95,47.6,0.0,13.5,10.1,1.2,651.0,35332.0,3561.0,121.05,41.0
4515209,2025-04-07 00:00:00,A,66.27,58.8,0.0,0.0,9.5,1.3,615.0,34218.0,3280.0,125.07,36.0
4515210,2025-04-07 00:00:00,A,70.66,60.4,0.0,0.0,11.1,1.5,641.0,34760.0,3298.0,131.06,35.0
4515211,2025-04-07 00:00:00,A,64.50999999999999,56.6,0.0,0.0,10.8,1.6,340.0,30417.0,2918.0,121.11,33.0
4515212,2025-04-07 00:00:00,A,56.49,35.0,0.0,28.61,8.6,1.5,611.0,36125.0,3719.0,120.1,39.0
4515213,2025-04-07 00:00:00,A,67.97,55.6,0.0,0.0,10.1,1.7,446.0,34890.0,3859.0,123.57,40.0
4515214,2025-04-07 00:00:00,A,59.18,44.9,0.0,19.43,9.0,1.6,552.0,32327.0,3357.0,123.51,38.0
4515215,2025-04-07 00:00:00,A,66.15,65.3,0.0,0.0,10.5,1.9,701.0,37342.0,3484.0,131.45,48.0
4515216,2025-04-07 00:00:00,A,70.63,56.8,0.0,0.0,10.6,1.5,769.0,33563.0,3533.0,127.43,36.0
